Countrycode,Namespace,AirQualityNetwork,AirQualityStation,AirQualityStationEoICode,SamplingPoint,SamplingProcess,Sample,AirPollutant,AirPollutantCode,AveragingTime,Concentration,UnitOfMeasurement,DatetimeBegin,DatetimeEnd,Validity,Verification
CY,CY.DLI-MLSI.AQ,NET-CY001A,STA-CY0006A,CY0006A,SPO-CY0006A_00008_100,SPP-CY_A_chemi_EC9841T,SPO_F-CY0006A_00008_100_100,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,34.93137999,µg/m3,2017-01-01 01:00:00 +01:00,2017-01-01 02:00:00 +01:00,1,1
CY,CY.DLI-MLSI.AQ,NET-CY001A,STA-CY0006A,CY0006A,SPO-CY0006A_00008_100,SPP-CY_A_chemi_EC9841T,SPO_F-CY0006A_00008_100_100,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,49.22149,µg/m3,2017-01-01 02:00:00 +01:00,2017-01-01 03:00:00 +01:00,1,1
CY,CY.DLI-MLSI.AQ,NET-CY001A,STA-CY0006A,CY0006A,SPO-CY0006A_00008_100,SPP-CY_A_chemi_EC9841T,SPO_F-CY0006A_00008_100_100,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,46.50502999,µg/m3,2017-01-01 03:00:00 +01:00,2017-01-01 04:00:00 +01:00,1,1
CY,CY.DLI-MLSI.AQ,NET-CY001A,STA-CY0006A,CY0006A,SPO-CY0006A_00008_100,SPP-CY_A_chemi_EC9841T,SPO_F-CY0006A_00008_100_100,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,26.49504999,µg/m3,2017-01-01 04:00:00 +01:00,2017-01-01 05:00:00 +01:00,1,1
CY,CY.DLI-MLSI.AQ,NET-CY001A,STA-CY0006A,CY0006A,SPO-CY0006A_00008_100,SPP-CY_A_chemi_EC9841T,SPO_F-CY0006A_00008_100_100,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,18.57523,µg/m3,2017-01-01 05:00:00 +01:00,2017-01-01 06:00:00 +01:00,1,1
CY,CY.DLI-MLSI.AQ,NET-CY001A,STA-CY0006A,CY0006A,SPO-CY0006A_00008_100,SPP-CY_A_chemi_EC9841T,SPO_F-CY0006A_00008_100_100,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,18.25001999,µg/m3,2017-01-01 06:00:00 +01:00,2017-01-01 07:00:00 +01:00,1,1
CY,CY.DLI-MLSI.AQ,NET-CY001A,STA-CY0006A,CY0006A,SPO-CY0006A_00008_100,SPP-CY_A_chemi_EC9841T,SPO_F-CY0006A_00008_100_100,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,30.30191999,µg/m3,2017-01-01 07:00:00 +01:00,2017-01-01 08:00:00 +01:00,1,1
CY,CY.DLI-MLSI.AQ,NET-CY001A,STA-CY0006A,CY0006A,SPO-CY0006A_00008_100,SPP-CY_A_chemi_EC9841T,SPO_F-CY0006A_00008_100_100,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,29.02020999,µg/m3,2017-01-01 08:00:00 +01:00,2017-01-01 09:00:00 +01:00,1,1
CY,CY.DLI-MLSI.AQ,NET-CY001A,STA-CY0006A,CY0006A,SPO-CY0006A_00008_100,SPP-CY_A_chemi_EC9841T,SPO_F-CY0006A_00008_100_100,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,11.38235,µg/m3,2017-01-01 09:00:00 +01:00,2017-01-01 10:00:00 +01:00,1,1
CY,CY.DLI-MLSI.AQ,NET-CY001A,STA-CY0006A,CY0006A,SPO-CY0006A_00008_100,SPP-CY_A_chemi_EC9841T,SPO_F-CY0006A_00008_100_100,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,11.478,µg/m3,2017-01-01 10:00:00 +01:00,2017-01-01 11:00:00 +01:00,1,1
CY,CY.DLI-MLSI.AQ,NET-CY001A,STA-CY0006A,CY0006A,SPO-CY0006A_00008_100,SPP-CY_A_chemi_EC9841T,SPO_F-CY0006A_00008_100_100,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,5.81552,µg/m3,2017-01-01 11:00:00 +01:00,2017-01-01 12:00:00 +01:00,1,1
CY,CY.DLI-MLSI.AQ,NET-CY001A,STA-CY0006A,CY0006A,SPO-CY0006A_00008_100,SPP-CY_A_chemi_EC9841T,SPO_F-CY0006A_00008_100_100,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,4.36164,µg/m3,2017-01-01 12:00:00 +01:00,2017-01-01 13:00:00 +01:00,1,1
CY,CY.DLI-MLSI.AQ,NET-CY001A,STA-CY0006A,CY0006A,SPO-CY0006A_00008_100,SPP-CY_A_chemi_EC9841T,SPO_F-CY0006A_00008_100_100,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,6.75288999,µg/m3,2017-01-01 13:00:00 +01:00,2017-01-01 14:00:00 +01:00,1,1
CY,CY.DLI-MLSI.AQ,NET-CY001A,STA-CY0006A,CY0006A,SPO-CY0006A_00008_100,SPP-CY_A_chemi_EC9841T,SPO_F-CY0006A_00008_100_100,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,8.58937,µg/m3,2017-01-01 14:00:00 +01:00,2017-01-01 15:00:00 +01:00,1,1
CY,CY.DLI-MLSI.AQ,NET-CY001A,STA-CY0006A,CY0006A,SPO-CY0006A_00008_100,SPP-CY_A_chemi_EC9841T,SPO_F-CY0006A_00008_100_100,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,7.95807999,µg/m3,2017-01-01 15:00:00 +01:00,2017-01-01 16:00:00 +01:00,1,1
CY,CY.DLI-MLSI.AQ,NET-CY001A,STA-CY0006A,CY0006A,SPO-CY0006A_00008_100,SPP-CY_A_chemi_EC9841T,SPO_F-CY0006A_00008_100_100,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,11.51626,µg/m3,2017-01-01 16:00:00 +01:00,2017-01-01 17:00:00 +01:00,1,1
CY,CY.DLI-MLSI.AQ,NET-CY001A,STA-CY0006A,CY0006A,SPO-CY0006A_00008_100,SPP-CY_A_chemi_EC9841T,SPO_F-CY0006A_00008_100_100,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,16.45179999,µg/m3,2017-01-01 17:00:00 +01:00,2017-01-01 18:00:00 +01:00,1,1
CY,CY.DLI-MLSI.AQ,NET-CY001A,STA-CY0006A,CY0006A,SPO-CY0006A_00008_100,SPP-CY_A_chemi_EC9841T,SPO_F-CY0006A_00008_100_100,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,10.7128,µg/m3,2017-01-01 18:00:00 +01:00,2017-01-01 19:00:00 +01:00,1,1
CY,CY.DLI-MLSI.AQ,NET-CY001A,STA-CY0006A,CY0006A,SPO-CY0006A_00008_100,SPP-CY_A_chemi_EC9841T,SPO_F-CY0006A_00008_100_100,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,26.32288,µg/m3,2017-01-01 19:00:00 +01:00,2017-01-01 20:00:00 +01:00,1,1
CY,CY.DLI-MLSI.AQ,NET-CY001A,STA-CY0006A,CY0006A,SPO-CY0006A_00008_100,SPP-CY_A_chemi_EC9841T,SPO_F-CY0006A_00008_100_100,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,37.32262999,µg/m3,2017-01-01 20:00:00 +01:00,2017-01-01 21:00:00 +01:00,1,1
CY,CY.DLI-MLSI.AQ,NET-CY001A,STA-CY0006A,CY0006A,SPO-CY0006A_00008_100,SPP-CY_A_chemi_EC9841T,SPO_F-CY0006A_00008_100_100,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,41.37818999,µg/m3,2017-01-01 21:00:00 +01:00,2017-01-01 22:00:00 +01:00,1,1
CY,CY.DLI-MLSI.AQ,NET-CY001A,STA-CY0006A,CY0006A,SPO-CY0006A_00008_100,SPP-CY_A_chemi_EC9841T,SPO_F-CY0006A_00008_100_100,NO2,http://dd.eionet.europa.eu/vocabulary/aq/pollutant/8,hour,45.43375,µg/m3,2017-01-01 22:00:00 +01:00,2017-01-01 23:00:00 +01:00,1,1
